Country,ISO,Stringency,DATE,Source,Notes
United Kingdom,GBR,2,15/06/2020,UK Government,https://www.gov.uk/government/news/face-coverings-to-become-mandatory-on-public-transport
Brazil,BRA,2,01/06/2020,ACAPS ID 12935,
Brunei Darussalam,BRN,2,18/05/2020,ACAPS ID 12306,
China,CHN,2,18/05/2020,ACAPS ID 11129,
Comoros,COM,2,23/05/2020,ACAPS ID 12059,
Comoros,COM,2,03/06/2020,ACAPS ID 12830,
Czech Republic,CZE,2,25/05/2020,ACAPS ID 12201,
Dominican Republic,DOM,2,20/05/2020,ACAPS ID 12067,
Hungary,HUN,2,18/05/2020,ACAPS ID 12907,
Israel,ISR,2,19/05/2020,ACAPS ID 12922,
Kazakhstan,KAZ,3,27/05/2020,ACAPS ID 13093,
Lao PDR,LAO,1,02/06/2020,ACAPS ID 12667,
Malaysia,MYS,2,29/05/2020,ACAPS ID 13008,
Oman,OMN,3,18/05/2020,ACAPS ID 11493,
Pakistan,PAK,3,15/05/2020,ACAPS ID 10669,
Poland,POL,2,30/05/2020,ACAPS ID 12865,
Saudi Arabia,SAU,3,01/06/2020,ACAPS ID 12763,
Slovakia,SVK,2,20/05/2020,ACAPS ID 11202,
